8948,PSYC 521,2,Reading Acquisition &amp; Devlpmnt,3,NULL,Lec,T,1630-1915,MCM 200D,"Swords, Rachel Ann",10,Open,2022,Spring
8949,PSYC 521L,1,Reading Acquisition &amp; Dev Lab,1,NULL,Lab,T,0930-1045,FORBES 2002,"Powell, Linda",0,Closed,2022,Spring
8950,PSYC 521L,2,Reading Acquisition &amp; Dev Lab,1,NULL,Lab,F,1600-1715,FORBES 2012,"Powell, Linda",9,Open,2022,Spring
8951,PSYC 535,1,Exceptional Learner,3,NULL,Lec,W,1600-1845,FORBES 2070C,"Sulzberger, Robert",2,Open,2022,Spring
8952,PSYC 535,2,Exceptional Learner,3,NULL,Lec,R,1630-1915,FORBES 2012,"Sulzberger, Robert",0,Closed,2022,Spring
8953,PSYC 544,1,Assessment of Learning,3,NULL,Lec,T,1630-1915,FORBES 2070E,"Pressley, Timothy",14,Open,2022,Spring
8905,PSYC 301L,3,Research Methods Laboratory,1,NULL,Lab,TR,1100-1215,FORBES 2090,"Staff, CNU",0,Closed,2022,Spring
8884,THEA 492,1,Arts Admin Internship,3,NULL,Int,NULL,NULL,ARR ,"Staff, CNU",0,Closed,2022,Spring
8885,THEA 498,1,Thesis Project,3,NULL,Lec,NULL,NULL,ARR ,"Lloyd, Gregg",11,Open,2022,Spring
8889,PSYC 202,1M,Inv Socl Contxt of Beh &amp; Cogn,3,NULL,Lec,MWF,1400-1450,FORBES 1022,"Antaramian, Susan",0,Closed,2022,Spring
8890,PSYC 202,2M,Inv Socl Contxt of Beh &amp; Cogn,3,NULL,Lec,TR,1100-1215,MCM 101,"Cartwright, Kelly",0,Closed,2022,Spring
8891,PSYC 207,1,Lifespan Development,3,NULL,Lec,MWF,1400-1450,FORBES 2070C,"Rollins, Leslie",19,Open,2022,Spring
8892,PSYC 207,2,Lifespan Development,3,NULL,Lec,MWF,1300-1350,FORBES 2070C,"Rollins, Leslie",2,Open,2022,Spring
8893,PSYC 208,1M,Child Development,3,NULL,Lec,TR,0930-1045,MCM 114,"Cartwright, Kelly",0,Closed,2022,Spring
8894,PSYC 208,2M,Child Development,3,NULL,Lec,MWF,0900-0950,FORBES 2070A,"Greenlee, Shelia",0,Closed,2022,Spring
8895,PSYC 208,3M,Child Development,3,NULL,Lec,MWF,0800-0850,FORBES 2070A,"Greenlee, Shelia",12,Open,2022,Spring
8896,PSYC 300,1,Statistical Appl-Soc Sci Rsrch,3,NULL,Lec,MWF,1200-1250,FORBES 2090,"Antaramian, Susan",0,Closed,2022,Spring
8897,PSYC 300,2,Statistical Appl-Soc Sci Rsrch,3,NULL,Lec,MWF,1500-1550,FORBES 2090,"Niehaus, Jeffrey",0,Closed,2022,Spring
8898,PSYC 300,3,Statistical Appl-Soc Sci Rsrch,3,NULL,Lec,MWF,1400-1450,FORBES 2090,"Niehaus, Jeffrey",0,Closed,2022,Spring
8903,PSYC 301L,1,Research Methods Laboratory,1,NULL,Lab,MWF,1500-1550,FORBES 2002,"Lange, Michelle",0,Closed,2022,Spring
8904,PSYC 301L,2,Research Methods Laboratory,1,NULL,Lab,MWF,1100-1150,FORBES 2090,"Pressley, Timothy",0,Closed,2022,Spring
8703,MUSC 314,1,Princ of Choral Conducting,3,NULL,Lec,MWF,1000-1050,FERG R118,"Irving, John",17,Open,2022,Spring
8906,PSYC 301L,4,Research Methods Laboratory,1,NULL,Lab,TR,1500-1615,FORBES 2090,"Staff, CNU",0,Closed,2022,Spring
8907,PSYC 304,1,Social Psychology,3,NULL,Lec,MWF,1300-1350,FORBES 2074,"Hart, Jason",0,Closed,2022,Spring
8908,PSYC 304,2,Social Psychology,3,NULL,Lec,MWF,1500-1550,FORBES 2070A,"Hart, Jason",0,Closed,2022,Spring
8909,PSYC 306,1,History and Systems of Psych,3,NULL,Lec,MWF,0900-0950,FORBES 2074,"Doolittle, Dorothy",3,Open,2022,Spring
8910,PSYC 306,2,History and Systems of Psych,3,NULL,Lec,MWF,1000-1050,FORBES 2074,"Doolittle, Dorothy",0,Closed,2022,Spring
8911,PSYC 312,1,Educational Psychology,3,NULL,Lec,MWF,1500-1550,FORBES 2070C,"Riggins, Earl",14,Open,2022,Spring
8912,PSYC 312,2,Educational Psychology,3,NULL,Lec,MW,1930-2045,FORBES 2070C,"Sulzberger, Robert",4,Open,2022,Spring
8913,PSYC 314,1,Psychology of Personality,3,NULL,Lec,TR,1100-1215,FORBES 2074,"Lee, Sherman",0,Closed,2022,Spring
8914,PSYC 314,1,Psychology of Personality,3,NULL,Lec,TR,1330-1445,FORBES 2070E,"Lee, Sherman",0,Closed,2022,Spring
8915,PSYC 315,1,Psychology-Abnormal Behavior,3,NULL,Lec,TR,1500-1615,FORBES 2070D,"Frieden, Fredrick",0,Closed,2022,Spring
8916,PSYC 315,2,Psychology-Abnormal Behavior,3,NULL,Lec,TR,1800-1915,FORBES 2074,"Riggins, Earl",14,Open,2022,Spring
